stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,17,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.25,0.28,0,0,0,0,0,0,0,0,0,0.56,4.23,0,5.36,0,0,0.28,0,0.56,1.97,0,0,13.25,0,0,0,0.85,0,0,0
21Day,1.11,0,0,2.96,0.37,0.37,0,0,0,0,0.74,0,0,0,0,3.7,0,9.99,0,0.37,0.74,0,1.11,0.74,0,0,9.99,0.37,0,0,0,0,0,0
3Month,0,1.04,0.1,4.47,0.1,0,0.1,3.54,0.62,0,2.91,0.42,0,0.52,0.62,3.54,0.42,5.62,0.83,0,0.52,0.1,0,0,0.1,0.1,0.42,0.1,3.54,0.1,0,2.5,6.14,0.42
22Month,0.14,0.14,0.14,1.64,0,0,0,0.41,0.55,0.27,6.15,0,0.27,0.27,0.14,0.14,0.27,1.5,0,0,0.27,0,0,0,0,0,0.14,0,0.96,0.27,0,0.14,0,0
