stage,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0,0,1.13,0.28
21Day,0,0,0.37,0.74,0
3Month,0.1,0.1,0.1,0,0
