stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,69.33,1.69,0,1.13,0,0.56,2.25,1.69,0
21Day,0,0.74,0.74,0,0,0,0.37,0.37,0.74,0,0.37,0.37,0.37,0.37,29.6,2.59,0.37,0.74,0.37,0,4.81,5.18,0
3Month,0,0.21,0,0.1,0,0,0.31,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1
22Month,0,0.82,0,0.14,0.41,0.55,3.83,0.27,0,0.14,0,0.14,0.27,0,0.14,0,0.14,0,0.14,0,0,0,0.14
