stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,1.13,0,0,0,0,0.28,0.28,0
21Day,0.74,0,0.74,0.74,0.37,0,0,0
3Month,0.1,0,0,0,0,0,0,0.1
22Month,0,0.27,0,0,0,0,0,0
