stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,0,0,0.56,0,0,0
21Day,0,0,0.37,0,0,0,0,3.7,0.37,0,0.37,0.74,0,0.37,0.37,0.37,4.07,0.74,0.74,1.11,0,0,5.18
3Month,0.1,0.42,0,0.1,0,0,0.52,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,6.76,0.31,1.25,0.42,1.87
22Month,0,0.96,0,0,0.14,0.14,3.55,0,0.14,0,0,0,0.14,0.14,0.14,0,0,0,0.55,0.68,0,0,0.55
