stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,4,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.41,0.85,0,0,0,0.28,0,0,0.85,0,0.28,8.17,0,0.56,0,0,0,0.28,0.56,0,0.85,0,0,0,0,0,0
21Day,0.37,6.29,1.11,0,0,2.22,0,0.74,1.85,0.37,0.37,6.29,1.85,1.11,0,0.37,0,0.37,0,0,0.74,0.74,0,0,0,0,1.85
3Month,0,4.47,0,0.1,0.73,7.07,0.62,23.09,0.21,0.73,0,0.42,1.77,0.31,0,0.31,0.1,0,0,0,0,0.21,0.1,0.21,0.1,0.21,0.94
22Month,0.27,0.55,0,0.14,0,8.61,0.96,7.79,0.27,0.41,0,0.14,1.09,0.41,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0.55
