stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,7,290,1,0,4,0,0,0,0,0,1,0,0,0
72hpf,3.95,0.56,0,1.97,0.56,1.13,0,0.28,0,0,0,0,0.56,0,0.28,2.82,2.25,9.58,0.28,0.56,0,91.04,109.64,0.28,0,7.05,0,0.28,4.51,0,0.28,0.56,0,0,0
21Day,0.37,0.37,0,4.07,0,3.33,0,1.48,0.37,0,0.37,0.37,7.03,0,0,0.74,3.33,8.88,0,0.74,0,28.12,27.01,0,0.37,4.07,1.11,0,2.96,0,0.37,1.48,0,0,0.74
3Month,0.21,0.1,0.1,1.56,0,0,0,0,1.14,0,0.83,0.73,0.1,0.52,0,0.1,3.12,1.35,0,0,0.1,0.31,0.31,0.21,0.1,0.1,0.21,7.18,0.1,0,0,0,0.21,1.66,1.14
22Month,0,0.68,0,0.27,0.14,0,0.14,0,3.14,0.14,4.65,0.68,0.27,0.55,0.14,0,3.55,1.09,0,0.41,0,0.14,0,0.27,0.27,0,0,0.68,0.27,0.14,0,0,0,0,1.09
