stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.28,25.65,0,0,0,0,0,0,0,0,0,0.56,0.85,0.28,0.28,0,0,0,0,1.41,0.56,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0.74,0.37,0,1.11,17.02,0,1.48,0.37,0,0,0,0.37,0,0,0.74,2.22,0,3.7,0,0,0.37,0,0.74,0,0.37,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.73,0.73,14.87,0,0.52,0,18.41,1.35,0,5.3,19.45,0.21,2.7,8.43,0.52,2.7,2.5,0.21,0.1,4.89,0.31,0.31,0,0.21,0.21,0,0.1,0.73,0.1,1.77,0.21,0.31,102.66,0.62
22Month,0,5.33,1.23,12.03,0,0.55,0.14,8.34,2.6,2.05,26.1,4.24,0.27,1.91,0.68,0.41,1.64,13.39,0,0.55,3.01,0.14,0.14,0.14,0.27,0,0.14,0,0,0,0.68,0,0.27,0.14,0.14
