stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,6.2,0,0,0,0,0,0.28,1.41,0,0.28,0.28,0.85,0,0,0
21Day,0.37,2.59,0.74,0.74,0.37,0,0,0,3.33,0.37,0.37,0,0.37,2.59,0,0
3Month,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.21,0.1
22Month,0,0.41,0.14,0,0.55,0.27,0.14,0,0,0,0,0,0,0,0.27,0
