stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,T_cell
21Day,0.37,0,0.37,0.74,0,0,0,4.81,0,0,0,0,0,0.74,0,1.11
3Month,0,0.1,0,0,0.1,0.21,0.1,0,0.1,0.1,0.83,0.1,0.21,0,0,1.14
22Month,0,0,0,0,0,0.14,0.82,0,0.14,0,0.27,0,0,0,0.14,0.27
