stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,20.57,1.41,0,8.74,3.38,13.53,0,0.28,0,0,0,0.28,0,2.82,26.78,3.1,21.14,0,1.13,0.28,0.85,1938.55,91.04,1.69,0.85,0,27.62,0,0.28,16.35,0.85,0.85,4.51,0,0,0
21Day,6.66,0,0,12.21,0.37,8.88,0.74,0,0,1.11,0.37,1.48,0.74,0.74,5.92,1.48,8.51,0,0,1.11,0,429.92,25.9,0.74,1.11,0,4.81,9.99,0,2.96,1.85,4.81,2.22,0.37,0,0.74
3Month,0,0.83,0.1,2.5,0,0,0,0.73,0,2.81,0.31,0.1,0.42,0.1,0.21,0.31,0.62,0.1,0,0.1,0,3.02,0.21,1.87,0,0,0,0.1,2.29,0.1,0,0,0.1,0,1.14,0.42
22Month,0.14,0.41,0.14,1.37,0,0,0.14,0.82,0.27,7.38,0.27,0,0.68,0.14,0,0.41,0.96,0,0.14,0.27,0,0.96,0.14,1.23,0.14,0.14,0,0.14,3.42,0,0.14,0,0,0,0,0
