stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,4,0,1,0,0,0,0,0,0,0,0,6,2,0,5,0,0,0,1,5,251,2,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,2.82,6.76,1.41,0,0,0,0,0,0,0.28,0,0.28,5.36,0,1.97,0,0.28,0,0.56,45.94,28.75,0.28,0.28,1.97,0,0.28,12.68,0.56,0,0,0
21Day,0,0,0,1.48,7.03,1.48,0,0,0.37,0,0,0,2.22,0,0,1.48,0.74,2.59,0,0,0,0,13.32,7.03,0.37,0.37,0.74,0,0.74,5.92,0,0,0,0.74
3Month,0.1,0,0.42,4.99,0.94,0,0.21,0.21,0.52,0,3.85,0.83,0,2.18,0.94,1.04,0.42,0.52,0.21,0,0.21,0.1,2.29,0.21,0.31,0,0.1,0.83,14.35,0.21,0.1,0.1,76.87,0.31
22Month,0,0.27,0,1.91,0,0,0,0.14,0.27,0.14,1.64,0.14,0,1.09,0.41,0,0.27,0.27,0,0,0.14,0,0.55,0.27,0.27,0,0,0,11.21,0,0,0,0.27,0.41
