stage,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,1,0,1,1,1,17,0,0,0
72hpf,0.56,0.28,0,1.13,0,1.13,0,0,0
21Day,0,0,0,1.48,0,0.74,0.37,0.37,0.37
