stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,8,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0,0,0,0,0
72hpf,0.85,0,1.69,0,0.28,0,0,0,2.54,0,0.28,0,0,29.59,7.89,0.85,0.28,0.28,0.28,0,0.56,0,0
21Day,0.74,0.37,2.22,0.37,0.74,0,0,0.37,0.37,0.37,0.74,0,0.74,15.17,8.88,0,3.33,0,0.74,0,1.48,0.37,0.37
3Month,0,0,1.87,0,0,0.21,0.21,0,0.42,0,0.1,0.1,0,0.42,0,0,0.52,0,0.1,0.31,0,0,0
22Month,0,0,0,0,0,0,1.23,0,0,0.14,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0
