stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0.28,0,0,0,0,0,0.28,4.23,0.56,0.85,0.56,0.28,0
21Day,0,0.74,0.37,0,0,0.37,0.74,2.59,0.37,0,0,1.11,0.37
22Month,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0
