stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.85,0,0,0,0,0,0,0,0,0.85,0,1.97,0,0.28,0,49.89,2.82,0,0.28,2.25,0,0,0,0,0.28,0.56,0,0
21Day,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,10.36,0.74,0,0,1.85,0,0,0.74,1.85,2.59,0,0,0
3Month,0.94,0,0,0.1,0.1,0,2.5,0.1,0,0.52,0.1,0.31,0.31,0.31,0,0,0.31,0.73,0,0.21,0,0,0.21,0.21,0,0.1,0,0.1,1.04,0.1
22Month,0.55,0,0,0.14,0.14,0.14,2.46,0.41,0.14,0.41,0.14,0.14,0.14,0.55,0.14,0.14,0,0.27,0,0.41,0.27,0,0,0,0.14,0,0,0,0,0.14
