stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.42,0.1,0.1,0.1,1.14,0,0.1,0.21,0,0,0,0.1,0,0,0.1,0,0.1
22Month,0,0,0.14,0.14,1.23,0.27,0.14,0,0.27,0.14,0,0,0.14,0,0,0.14,0
