stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,6.76,0.85,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0.74,0.74,0,0,0.37,0,0,0.37
3Month,0,0.1,0.1,1.14,0.21,0,0,0.1,0,0,1.04,0.21,0.42,0,0.52,0,0.42,0.21,0,0.1,0.21,0.21,0.1,3.54,1.25,0.1,0.1,0.31,0.73,0
22Month,0,0.27,0.14,1.23,0,0,0.14,0,0.27,0.27,15.3,0,1.64,0.14,0.14,0.41,0.27,0,0.55,0,0.14,0.55,0,3.96,0.27,0.27,0.14,0.14,0,0
