stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,1,5,1,0,0,0,0,0,0,1,2,1,4,0,1,59,1,0,0,0
72hpf,0,0.28,0,0.28,0.56,0.28,0,0,0,0,0,0,0,1.69,0.28,4.23,3.1,0.56,0,0,0
21Day,0,0,0.37,0,1.85,0.74,0,0,0,0.74,0,0.37,0,0.74,0,0.37,1.11,0.37,0,0.37,0
3Month,0,0,0.21,0,0,0,0,0.52,0.1,0,0,0,0,0,0,0,0.1,0,0.21,0,0.1
22Month,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0
