stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,1.41,1.13,1.69,0,0,0,0,0,0,0,0,0,1.97,0,1.41,0,0.28,0,0,157.83,3.95,0.56,7.05,1.69,0,0,1.41,0,0.28,0.28,0,0
21Day,2.96,0,0.37,5.18,1.48,3.7,0.74,0,0.74,0,0,0,0.74,0.74,0,3.33,2.22,6.29,0,0,1.48,0,173.52,4.44,0.74,2.96,1.85,5.55,1.11,3.33,0.74,2.96,0.37,0,0.37
3Month,0.1,0,0,0.83,0.1,0,0,0.1,0.21,0,3.85,0.52,0,1.04,0.21,1.98,0.21,1.25,0.31,0,0.83,0.1,3.22,0,3.33,0,0,0,0.73,0,0.1,0,0.21,3.95,0.42
22Month,0.14,0.41,0.14,0.41,0,0,0,0,0.41,0.68,10.39,0.27,0,0.82,0,0.55,0.41,1.23,0,0.27,0.55,0,5.47,0,2.73,0.27,0.14,0,3.96,1.37,0,0,0,0,0.55
