stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.85,0.56,0,0,0,0,0,0.28,0,0,0,0,0,0,1.13,0,0,0,3.66,4.51,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,1.11,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0.74,0,0.37,0,0.37,0.74,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.21,0.31,0.31,34.64,0.1,0,0.21,0,0.31,0.62,1.56,3.74,0.73,0,1.46,0.31,0.73,0.83,0.94,0,0.52,0.21,0.1,0.21,0.31,0.1,0,0.31,1.87,0.21,0,0.21,1.56,0.83
22Month,0.14,0,0,3.28,0,0,0,0.14,0.14,0.27,1.78,2.6,0.14,0.14,0.55,0,0,0.41,0.27,0.27,0,0,0.14,0.14,0,0,0,0,0.55,0.14,0.14,0,0,0.41
