stage,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Spermatocyte
21Day,0,0,0.37,0,0,0.37,0
3Month,0,0,0.21,0,0,0,0.1
22Month,0.14,0.14,0.55,0.14,0.14,0,0
