stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,1.41,4.23,0,0.28,0,0.56,0,0,1.69,0.85,0,0,0,1.41,0,0,0.28,0,0,0,0
21Day,0,0.37,1.85,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0.37,0,1.11,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.31,0.42,6.35,0,0,0.21,0,1.56,0.31,0,0,3.95,0.21,4.68,0.1,1.25,0.73,0.42,0.1,0,0.21,3.85,0.21,0,0.83,0.52,0,0,0.42,3.22,0.1,0.1,0,0.31,0
22Month,0.14,0.82,3.83,0,0,0.14,0.14,0.82,0.96,0.41,0,15.44,0,12.03,0,0.68,0.41,0.68,0,0.55,0,0.14,0.14,0,0.55,0,2.32,0,0.27,2.05,0.14,0,0.14,0.14,0.55
