stage,Hepatocyte,Ionocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,3,0
72hpf,0,0,0,1.41,0,0
21Day,0,0,0,0.37,0,0
3Month,0.1,0.1,0.1,0.21,0,1.77
