stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0.28,0.56,0
3Month,0.1,0,0.1,0.1,0,0.1,0,0.1
22Month,0,1.37,0.14,0,0.14,0,0,0
