stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,4,15,0,0,0,0,5,37,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,1.97,5.36,0,3.95,0.56,1.69,0,0,0,0,0,0,0,0,0,0,0,1.69,25.93,1.13,16.91,0,0.28,1.13,0,4.79,6.76,0,0,0,21.98,0,0,2.25,0,1.69,0,0,0
21Day,4.44,3.33,1.11,6.66,0.37,2.96,0,2.96,0,0,0.37,0,0,2.59,0,0.74,1.11,0.37,4.07,1.85,22.94,0,0,7.03,0,1.48,2.96,0,0,0,13.32,1.85,0,2.22,0.37,1.11,0,0,0.37
3Month,0.42,5.51,1.14,18.52,0.21,0,0.31,0.1,0.31,3.02,2.08,0.1,0,162.47,2.6,0.83,20.18,2.6,10.4,4.37,19.87,3.33,0.1,1.25,2.18,0.21,0.1,0.42,0.62,0,0.94,2.5,5.1,0.62,0,0.83,2.39,1.35,2.7
22Month,0.14,4.1,0.82,3.14,0,0,0.41,0.14,0,1.23,2.05,3.01,0,114.38,1.37,1.09,11.75,0.55,1.23,3.28,5.06,0.41,0.55,0.96,0.27,0.14,0,0.68,0.27,0.14,0.41,0.82,2.6,1.5,0,0,0.41,0,0.68
