stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neurosecretory_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0.56,0,0,0,0.56,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37
3Month,0.42,0,0,0.21,0.21,0,4.16,0.1,0,0,0.1,0.1
22Month,0,0,0.14,0,0.27,0,0,0,0,0,0,0.14
