stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,1,1,0,0,1,1,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0.28,0.56,0.28,0
21Day,0,0.74,0.37,0,0,0,0.37,0,1.11,0,0.37
22Month,0,0,0,0.14,0,0,0,0,0,0,0.27
