stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0
72hpf,1.41,3.1,0,1.41,0.85,0,0,0,0,0,0,0,0,0.28,0.85,0.28,2.54,0,0,0,0,5.64,1.41,0,5.36,0,0,0.28,0,0,0,0,0
21Day,1.48,0.37,0,5.55,0,0,0,0,0,0,0.37,0,0,0.37,1.48,0.37,4.44,0,0,0.37,0,4.81,0.74,0,0.74,0.37,0,0,0.37,0.74,0,0,0.37
3Month,0,2.18,0.31,3.74,0,0.1,0.42,0.21,0,7.91,0.1,0.1,0.73,0.21,3.02,0.21,0.62,0.1,0,0.31,0.31,0,0.21,0.1,0,0.21,1.35,0,0,0.1,1.14,14.46,0.21
22Month,0.14,5.88,0.14,0.68,0,0.14,0,0.41,0.27,11.62,0.14,0,0.27,0,0.14,0.27,0.27,0,0.14,0,0,0,0.14,0.14,0,0,1.23,0.14,0,0.14,0,0,0
