stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,2,1,0,0,2,0,1,19,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0.56,1.41,0.28,0,0,0.28,0
21Day,0.37,0,0,0,0.37,0.74,0,0,1.48,0,0,0,0,0
3Month,0,0.21,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0,0.27,0,0,0,0,0,0,0.96,0.96,0,0
