stage,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0
3Month,0,0.21,0.1,0,0.42,0,0,0.1,0,0,0,0,0,0,0.1,0.1
22Month,0.14,0,0.14,0.14,1.91,0.27,0.14,0,0.14,0.14,0.14,0,0,0.14,0,0.27
