stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,26,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.85,0.56,3.95,7.05,5.92,1.13,0.85,0,0
21Day,0.37,0,1.48,0.74,0,0.37,0.37,0,0,0.37,1.48,0,0.37,1.11,11.84,5.55,2.59,4.07,2.59,0.37,0
3Month,0,0,0.21,0,0,0,0,0,0,0.21,0.21,0,0,0.1,0.31,0,0,0,0,0,0.1
22Month,0,0.14,0.14,0,0.14,0,0.55,0.27,0.96,0.41,0.41,0,0.14,0.27,0.14,0,0.14,0,0,0,0.55
