stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,2.54,0,0.28,0,0,0,0,0,0,9.58,1.97,0,0,0,0,4.51,1.97,3.95,0.28,0.28,0,0,0,0.28,0.85,1.97,0,0,0
21Day,0,0,2.59,0,0.37,0,0,0,0,0,0,7.4,0.74,0,1.48,0,0,1.48,0.37,0.74,0,0,0,0,1.11,0,1.48,6.29,0,0,0
3Month,0,0.1,27.77,0,0,0.31,0.42,0.62,3.22,0.83,0.94,18.2,0.62,0.31,0.94,0,0.31,4.89,0.21,0.1,0.83,0.21,0,0.52,7.18,0,0.1,0,0.31,16.23,0.83
22Month,0.14,0.14,18.45,0.14,0,0,1.5,0.55,7.38,0,0.41,4.37,0.14,0,0.27,0.14,0,0.96,0,0.14,0.82,0,0.14,0,1.64,0,0,0,0,0,0
