stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,80.04,0.85,0.28,0,0.56,0,0,0,5.64,5.64,0.28,0,0,0
21Day,1.11,0,2.96,1.48,0,0.37,0,0.37,0,0.37,0,0,0,0.37,1.11,0.74,1.85,0,0,28.86,1.11,0,0.37,0.74,0.74,0.37,0,24.79,140.96,0,0,0,0.37
3Month,0,0,0.42,0,0.1,0,0,3.85,0,1.87,0.21,0,0.42,0.1,0.1,0.52,0.1,0.21,0.1,0.21,0,0,0,0,0.1,3.33,0.1,0,0.1,0,0.1,0.42,0.21
22Month,0,0.41,0.27,0,0,0,0.27,3.69,0.55,7.38,0,0.14,0.82,0.14,0,0.14,0.96,0,0,0.55,0.14,0.55,0,0,0,3.28,0.41,1.23,0,0,0,0,0
