stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0.42,44.62,0.52,0.1,3.02,0.83,1.25,0.31,14.67,0.42,2.29,0.42,0,0.21,0.1,0.1,0,0.31,0.1,0.1,0.52,0.62,0.42,0.31,0
22Month,0,0.96,7.11,0.55,0.14,3.69,0,0.68,0.14,5.06,0.27,1.23,0,0.14,0,0,0,0,0,0,0,0,0.41,0,0,0.41
