stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,0.37,0.37,0.37,1.11,0,0,0
3Month,0,0.1,0.21,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0
22Month,0.14,0,0,0,0.68,0,0,0,0.14,0,0,0,0.14
