stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0.28,0,0,0,0,0.28,0,0,6.2,0.56,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0.37,5.92,0.37,0,0
3Month,0.31,0,0.52,0,0,0,0.1,0,0.1,0,0,0.21,0.1
22Month,0.14,0,2.19,0.14,0.14,0.41,0,0.14,0.14,0,0,0.14,0
