stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,3.1,0,0,0,0,0,0,0,0,0.85,9.86,0,0.28,0,0,9.02,1.41,0,0.28,0,0,0,0,0
21Day,0.37,0.37,0,10.73,0,1.11,0,0,0,0,0,0,0,0.37,10.73,0.37,0.74,0,0,10.73,1.48,0,0.37,1.11,0,0,0,0
3Month,0,0,0,4.06,0.1,0,0,0.52,0,0.83,0.21,0,0.31,0.42,0.31,0.21,0.1,0,0.1,0.1,0,0.1,0,0.21,3.33,0.1,5.1,0.1
22Month,0,0,0.14,0.68,0,0,0.14,0,0,3.28,0,0.14,0.68,0.14,0.14,0.41,0,0.14,0.14,0,0,0,0,0,1.09,0,0,0.14
