stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,5,0,0,0,1,0,39,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,1.41,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,1.97,0,0,0.28,0,21.14,5.07,0,0,1.97,0,1.13,1.13,0.85,1.13,0,0
21Day,2.22,0,1.11,1.48,0,0.37,0,0,0,0,0,0,0,0.37,0,0.74,0.37,1.11,0.37,0.74,0,0.37,0,0,5.92,2.22,0.74,0,0.74,0,0,0,0,0.37,0,0
22Month,0.14,4.78,0.27,5.74,0.14,0,0.14,0,0.96,5.06,0.55,0,10.39,1.23,0.27,0.82,1.09,0.82,5.6,3.69,0.27,0.55,0.41,0,3.96,0.55,1.5,0.14,0.14,0.14,1.37,0.68,0,0,0.55,5.47
