stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,23,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0.56,1.13,0,0,0,0.28,0.85,0,0.56,0,0,80.04,8.74,0.28,0.28,0.56,0,0,1.41,0.28,0.85,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0,0.37,0.37,0,0.74,0,0.37,27.01,0.74,0,0.37,0,0.37,0,0.74,1.85,2.59,0.37,0
3Month,0,0,0,0.42,0,0,0.1,0,0.1,0,0.1,0,0.31,0,0,0.52,0.1,0.31,0.1,0,0,0.94,0.1,0,0,0,0.1
22Month,0,0,0.14,0,0,0,0,0.96,0,0,0,0.14,0.14,0.14,0,0.14,0,0.27,0.27,0,0,0.41,0.41,0.41,0,0,0
