stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,4,0,0,0,15,0,0,0,0,0,0,0,0
72hpf,5.07,0.85,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0.56,1.13,0.85,38.61,0.28,0,24.8,7.61,0.28,0,0,49.04,0,0,0.85,0.28,4.79,0,0,0
21Day,2.22,0.37,1.85,0,0.74,0,0,0,0,0.37,0,0.37,0,0,1.11,1.11,14.06,0,0.37,9.99,0.74,0.37,1.85,0,15.17,1.48,0.37,0.74,0,4.44,0,0,0
3Month,0,0,1.77,0,0,0.1,0.21,0,0,1.56,0,0.1,0.73,0.62,0.21,0.21,6.03,0,0.1,1.04,0,2.08,0.1,0,0.1,0.21,9.88,0,0.1,0,0,0.62,0.1
22Month,0,0.27,1.91,0,0,0.14,0,0.41,0.14,3.55,0.14,0,0,0,0.27,0.41,1.78,0.27,0,1.64,0,1.78,0,0.14,0,0.14,5.47,0.41,0,0,0.14,0,0
