stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,0,0,0,0,0,0,10.73,0,0.37,1.11,0,0.74,1.11,1.48,0.37,1.85,0,0,0,0,0
3Month,0.1,1.35,0,0.21,0.42,0.31,2.18,0.42,0.1,10.71,0,0,0.31,0.1,0.21,4.89,0,0,0.31,0.1,0.21,0.1,0.31,0.1
22Month,0.14,0.14,0,0,0.14,0.14,1.37,0,0,8.88,0,0,0.27,0,0,0,0,0,0.27,0.14,0,0,0,0
