stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,4,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,0.56,0.85,0.85,0,0,0,0.28,0,0,0,0,0,0.28,3.38,0.56,37.2,0,0,0.85,26.78,2.82,0.85,0,56.65,0,0,1.69,0,2.25,0,0,0
21Day,0.37,0,0,0.37,0,1.11,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,51.8,0,0,0.74,9.99,2.22,0.37,0.37,24.79,1.85,0.74,0,0.37,0.37,0,0,0
3Month,0.1,0.31,0,2.18,0,0,0.21,0.1,0.21,0.42,0,41.09,1.66,0.1,0.73,0.31,1.04,1.46,13.11,1.04,0,0.1,0.52,0,1.25,0.1,0.1,0.83,3.54,0.1,0,0.21,0.31,0.73,0.73
22Month,0,0.14,0.41,1.09,0.14,0,0.27,0,0.41,0.68,9.43,51.11,0.14,0.68,1.23,0,0,0.96,9.7,0,1.09,0.27,0,0.14,1.09,0.41,0,0.14,1.23,0.55,0,0.14,0,0,0.27
