stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,1.69,0,0,0,0,0,0,0,0,0,0,0,2.82,0,1.41,0,0,0,0,1.97,1.41,0,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0.37,0,4.07,0.37,4.07,0,0.74,0.37,0,0,0,0,0,0,0,0.37,0.74,0.37,2.59,0,0,1.48,0,0.37,1.11,0,0,0,1.85,0.74,0,0,1.11,0,0
3Month,0,0.94,0.1,7.91,0,0,0.42,0,0.94,1.14,0,0,50.45,1.35,0,2.18,1.35,4.78,2.18,3.95,0.52,0.21,0.31,0.52,0.1,0,0.21,0.21,0,0,0.83,0.73,0.21,0,0.83,0.31
22Month,0,0.55,0.14,3.28,0,0,0.41,0,0.68,0.82,0.41,0,43.32,0.14,0.14,2.05,0.41,1.37,2.6,4.78,0.14,1.91,0.41,0,0.14,0,0.27,0.27,0.14,0.14,0,0.14,0.14,0,0,0.41
