stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0.56,0,0.56,0,2.25,2.25,0,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0,0,1.85,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0.74,0.37,0.37,1.85,0,0,0,0,0.37,1.85,0,0.37,0,0.37,0.37
3Month,0.21,0.21,2.39,0,0,0.21,1.35,2.18,0.94,0.1,1.35,0.1,0.62,1.35,0.1,0.1,0.1,0.1,0.1,0.31,0,0,0.62,15.71,0,0,0.42,26.94,0.73
22Month,0.41,0,0.41,0.14,0,0,0.68,3.14,0,0.14,0.14,0,0.14,0.27,0.14,0,0,0,0,0.14,0.27,0,0,1.23,0,0,0,0,0
