stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.85,0,0,0,0,2.82,0.85,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0.74,0,0.74,0.37,1.11,0,0.37,0,0,0,0.37,0,0.74,0.37,0,1.85,0,0,0.74,0,1.11,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.62,4.58,0,0.21,0.31,3.54,0,1.66,0.94,0.31,0.31,0.73,0.94,2.7,3.43,0.31,0,1.25,0.73,0.21,0.1,0.21,0,0,0.1,1.87,0.1,0,0.1,0.31,0.31,1.25
22Month,0.14,0.41,2.19,0,0.14,0.41,6.42,1.5,5.33,1.23,1.37,0.68,0.41,0.68,6.15,2.19,0,0.41,0.68,0,0.14,0,0.14,0.27,0.14,0,0.14,0.14,0.14,0,0,0,1.5
