stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0
21Day,3.7,7.4,0.37,0,0.37,0.37,4.44,0,0.37,0.37,2.59,0.37,0,2.59,0,0,0,0,0.37,0.37,0,0.37,0,2.22
3Month,0.1,5.41,0,0.1,0.42,1.14,0,0.31,0.1,0.52,2.39,0.21,0.1,5.62,0,0,0.1,0.1,0,0,0.94,0,0.42,0.94
22Month,0,2.05,0,0.27,0.14,1.23,0.55,0,0,0.14,0.41,0.27,0,0.14,0,0,0,0,0,0.14,0,0,0,0
