stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,18,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,22.55,0.56,0.28,0,0,0,0,0,0,0,0.56,1.13,0,4.79,0,0,0.28,17.47,14.09,0,0,0,2.82,0,0,1.13,0.28,0,0.28,0,0
21Day,1.48,0,0,38.48,0.37,1.11,0,0,0,0.37,0,1.48,0,0.74,2.96,0.37,2.22,0,0,0,4.07,2.96,0,0.37,0,2.59,0.37,0,0.37,0,0.74,0,0,0.74
3Month,0,0.31,0.1,17.79,0.1,0,0.1,0.31,0,2.08,0.62,0,1.14,0.42,13.11,0.73,0.52,0.1,0,0.1,0.21,0.1,0.1,0.1,0,0.1,0.42,1.35,0.1,0,0,0,0.21,0.52
22Month,0,0.14,0.14,1.64,0,0,0,0.41,0.27,3.55,0.27,0,0.14,0,0.68,0.55,0.14,0,0.14,0,0,0,0,0,4.78,0,0,0.14,0,0,0,0,0,0.14
