stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.74,2.22,0,0,0,0.37,0,0,0,0,0,0.37,0,1.85
3Month,0.21,0,0.21,0,0,0.1,0.21,0,1.66,0.1,0.1,0,0.1,1.04,0.1,0.21,0,0.1,0.21,0,0.1,3.22
22Month,0.41,0,0.55,0,0.27,0.14,0.55,1.78,0.41,0,0.14,0.14,0,0.27,0,0,0,0,0.14,0,0,0.96
