stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0.28,0,0,0,0,0,0.56,0,0.28,29.88,0.85,0.85,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0,2.22,0,0.37,10.36,0,0,0.37,0.37,0.37
3Month,0,0,0,0,0,0,0,0.21,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0.14,0.14,0.55,0,0,0.14,0,0,0,0,0,0,0,0
