stage,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,2,1,0,35,0,0,0,1
72hpf,0.28,0.28,0.28,0,0.28,1.69,1.13,0.56,0,1.13,0
21Day,0,0,0.37,0.37,0.37,1.85,3.33,0,0.37,0.74,0
