stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0,0.28,0,0,0,2.54,0.28,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,2.96,0,1.11,0,0,0,0
3Month,0.1,0,0,0.1,0,0.21,0,0.1,0,0,0,0,0.62,0.1,0.73,0.1,0.1
22Month,0,0,0.55,0,0,0,0,0,0.14,0.27,0,0,0.55,0,0.68,0,0
