stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0.28,0,0,0.28,0,0
21Day,0,0,1.48,0.37,0.37,0,0.37,0,0.37,0,0,0.37,0.37,0.37,0.37,1.11,0,0,0,0.37
3Month,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1
22Month,0,0,0.14,0,0,0,0,0.68,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0
