stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0.28,0.28,0,0,1.41,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,3.33,0,0,1.11,0,0.74,0.37,0,1.11,0,0,0,0.37,0,0,0,0
3Month,0.1,0.42,0,0.52,0.1,0,0.31,0.73,0,1.56,0.31,0.1,0.73,0,0.1,0.52,1.98,0.42,0,0.21,0.1,0,0.21,0,0,0.1,0.42,0,0,0,0.62,0.1,0.31
22Month,0,0.55,0.41,0.27,0,0,0.14,0.55,0.14,8.06,0.27,0.27,0.68,0,0.14,0.55,2.05,0,0.41,0.14,0.14,0,0.14,0.14,0,0,0.14,0.27,0,0.14,0,0,0.27
