stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,0,0,0,0,0
72hpf,1.13,0,0,0.56,1.97,0,0,0,0,0,0,0,0.85,0,5.07,0,0,1.69,1.41,0,3.1,0,0,0,0.56,0
21Day,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,5.18,0,0,0.37,0,0,0.37,0.37,0,0,0.74,0
3Month,0,0.21,0.21,0.31,0,0.21,0,0,0.21,0.52,0,0,0.31,0.1,1.35,0.31,0.21,0,0,0,0,0.1,0.52,0.1,0,1.25
22Month,0,0.14,0.14,0.14,0,0.27,0,0.14,0.14,0.82,0.14,0.27,0,0.14,0.55,0.14,0,0,0,0.55,0,0,0.14,0,0,0
