stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,0,3,0,0,1,0,0,0,3,0,0,0,0,1,1,0,73,0,0,0,0,12,43,1,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,39.46,1.13,0,3.38,2.82,0,0,0,0.56,0,0,0,0,0,0,1.13,4.51,0.28,79.76,0,0.28,0.28,0,162.63,31.57,7.33,0.85,0,27.06,0.28,0,0,4.79,0,0,0.85,0,0,0
21Day,30.71,0.37,0,7.03,4.07,0,0.37,0,0,0,0,7.4,0,1.85,0,0,0.37,1.48,50.32,0,0,1.85,0,49.58,11.1,19.24,0.37,0,5.92,4.07,0,0.37,3.33,0,0.37,0.37,0,0,0.37
3Month,2.18,2.18,0.31,5.3,0,0.1,0,0.21,1.04,0.1,0,68.76,1.25,0.31,2.81,0.52,1.25,1.04,3.02,0.31,0.1,0.94,0.21,1.98,0,26.84,0.21,0,0,1.56,0.1,2.08,0,0,0,0.21,0.42,1.04,1.25
22Month,0.55,1.64,0.41,4.65,0,0.14,0.14,0.68,3.55,1.64,0,38.26,0.68,0.55,3.42,0,0.41,3.01,4.65,0.14,1.23,0.96,0,0.96,0.27,18.17,0.14,0.14,0,0.27,0,2.19,0.27,0.27,0,0,0.14,0,1.5
