stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,82,3,0,0,0,0,0,0,0
72hpf,3.1,0.56,1.41,0.56,1.97,0.28,0,0,0,0,0,0.28,2.25,0.56,3.95,0,166.01,57.78,3.66,2.54,0.56,0,11.84,0.28,0,0
21Day,0.74,0,1.11,0,2.22,0.37,0.37,0.37,0.37,0.74,0,0,0.74,0.74,1.48,0.37,25.53,15.17,1.11,1.11,1.85,0,1.48,0,0,0
3Month,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.21,0.21,0.31,0,0,0.1,0,0,0,0.21
22Month,0,0,0,0,0,0,0,0,0.14,0.82,0.14,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0.14,0
