stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0
21Day,10.36,0,0,0,0,0.37,0,0,1.11,3.7,0.74,0.37,0,0.37,0,0
3Month,4.37,0.1,0.1,0.52,0.21,0,0.1,0.31,0,0.1,0.1,0.1,0.1,0,0.1,0.1
22Month,1.37,0,0.14,1.23,0,0,0,0,0,0,0,0,0,0,0,0
