stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,4,1,0,0,0,0,0,0,0,1,1,0,1,18,1,0,0,0
72hpf,0.56,9.3,3.38,0,0,0,0,0,0,1.41,0.56,1.97,0,1.13,3.66,3.1,0,0,0
21Day,0,29.23,1.85,0.74,0,0,0,0.37,0.37,0.74,0.37,2.22,0.37,0.37,0.74,1.11,0.74,0.37,0
3Month,0,3.02,0,0,0.1,0,0.1,0,0,0.31,0,0.31,0,0,0,0,0,0.1,0
22Month,0,0.41,0,0,0,0.55,0,0,0,0,0,0.14,0,0,0,0,0,0.27,0.14
