stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,8,0,0,0,0,1,0,0,0,0,0,1,3,13,11,0,0,0,0,2,44,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,2.25,0,0,0.28,0,0.28,0,0,0,1.13,0,1.69,5.64,1.13,5.36,0,0,0.28,0.28,3.38,6.2,0,0,3.1,0.56,0,0,1.97,0,0.56,0,0,0
21Day,0.37,0.74,0,5.18,0.37,0,0.37,0,1.48,0,0.74,0,8.14,0.74,0,5.18,4.81,11.84,0,0,0.74,0,2.22,5.18,0,0,3.33,1.85,0,0,1.48,0.37,0.37,0,0,1.48
3Month,0,2.81,0.52,16.02,0,0.1,0.31,4.89,13.31,0,24.65,16.02,4.06,7.28,1.35,4.68,11.13,4.16,1.46,0,0.94,1.25,0.21,0.1,0.83,0.31,0.52,0.83,0.31,3.12,0.1,0,0,2.81,1.25,8.53
22Month,0,2.05,0.27,4.24,0,0.27,0.14,1.5,16.67,2.19,19.4,5.06,4.78,4.37,0,0.68,9.02,4.92,0,0.96,0.27,0,0,0,0.55,0.55,0.14,0.27,0,0.82,0.41,0,0,0.68,0,2.32
