stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,153,10,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,1.13,0,1.69,0,0,0,44.81,3.95,0,0,0,0,0.28,0
21Day,0.37,0,1.11,0.37,0,0,0,0,0.37,0,1.11,0,0,0,0,0,0,0,0,11.84,0.37,0,0.37,0,0,0,1.48
3Month,0,0.1,1.25,0,0,0.1,0.1,0,0.62,0.21,0,0.21,0.1,0.1,0.21,0.1,0.21,0,0,0.21,0,0,0.1,0.21,0.21,0,2.18
22Month,0,0.27,0.68,0,0.14,0.14,1.09,0.41,6.29,0.27,0.14,0.27,0,0.14,0.68,0.41,0,0.14,0,3.28,0,0.41,0,0,0.14,0,1.09
