stage,Cardiomyocyte,Hepatocyte,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0.28,0,0,0,0.56,0.56
21Day,0,0,0.37,0,0.37,1.11
3Month,0,0.21,0,0,0,0
22Month,0,0.14,0,0.14,0,0
