stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,5.55,0.37,0,0,0,0,0,0,0,0.37,7.77,2.96,0.74,0,0.37,0.37,0.37,0,0,0,0
3Month,8.32,0,0.21,0,0.21,0,0.62,0,0.1,0.52,0.42,1.87,0,0.42,0.31,0,0.1,0.31,0.1,0.21,0.21
22Month,6.15,0,0,0.14,0,0.14,1.23,0.27,0,0.41,0.14,1.09,0.14,0,0.14,0,0,0,0,0,0.14
