stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,0,4,0,0,0,0,0,0,0,0,0,1,1,4,10,0,0,0,2,50,1,0,0,0,1,0,0
72hpf,0.85,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0.56,0,1.97,0.28,0,0,4.79,8.74,1.97,0,0,0.28,0.28,0,0
21Day,4.07,0.37,0,4.07,2.22,0,0.74,0,0,0,0.37,3.33,0.37,0,0.74,0.74,6.66,0,0.37,0,3.7,7.77,2.22,0,0,1.11,0,0,0.37
3Month,0,0,0.1,0.31,0,0,0.1,0.1,0.31,0.83,0.1,0.1,0.21,0,0.1,0.31,0.31,0,0.1,0.1,0,0,0,0.1,2.81,0,0,1.04,0.94
22Month,0,0.41,0.27,0.55,0,0.14,0,0,1.37,5.47,0.41,0.68,0.55,0,0.14,0.68,0.41,0.27,0.14,0,0,0,0,0,1.09,0,0,0,0.41
